alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.037276,0.000207,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0614
0.037276,0.000207,3,1,0.7187,0.0164,0.6489,0.0331,0.7225,0.0665
0.037276,0.000207,3,2,0.7187,0.0164,0.6489,0.0331,0.7229,0.0655
0.037276,0.000207,3,3,0.7204,0.0144,0.6524,0.0269,0.7237,0.0651
0.037276,0.000207,3,4,0.7204,0.0144,0.6524,0.0269,0.7237,0.0649
0.037276,0.000207,3,5,0.7187,0.0143,0.6511,0.0263,0.7236,0.0641
0.037276,0.000207,3,6,0.7187,0.0143,0.6511,0.0263,0.7238,0.0641
0.037276,0.000207,3,7,0.7187,0.0143,0.6511,0.0263,0.7246,0.0637
0.071969,0.000113,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0608
0.071969,0.000113,3,1,0.7187,0.0164,0.6489,0.0331,0.722,0.0669
0.071969,0.000113,3,2,0.7187,0.0164,0.6489,0.0331,0.7222,0.066
0.071969,0.000113,3,3,0.7204,0.0144,0.6524,0.0269,0.7228,0.0653
0.071969,0.000113,3,4,0.7204,0.0144,0.6524,0.0269,0.7236,0.0648
0.071969,0.000113,3,5,0.7204,0.0144,0.6524,0.0269,0.7237,0.0642
0.071969,0.000113,3,6,0.7187,0.0143,0.6511,0.0263,0.7238,0.0643
0.071969,0.000113,3,7,0.7187,0.0143,0.6511,0.0263,0.7244,0.0641
