alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.037276,0.0001,3,0,0.7271,0.0203,0.6636,0.0422,0.7235,0.0594
0.037276,0.000113,3,0,0.7271,0.0203,0.6636,0.0422,0.7245,0.0585
0.037276,0.000127,3,0,0.7271,0.0203,0.6636,0.0422,0.7246,0.06
0.037276,0.000144,3,0,0.7271,0.0203,0.6636,0.0422,0.7243,0.0602
0.037276,0.000162,3,0,0.7271,0.0203,0.6636,0.0422,0.7249,0.0603
0.037276,0.000183,3,0,0.7271,0.0203,0.6636,0.0422,0.7252,0.0607
0.037276,0.000207,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0614
0.037276,0.000234,3,0,0.7288,0.0226,0.6684,0.0421,0.7263,0.0602
0.037276,0.000264,3,0,0.7288,0.0226,0.6684,0.0421,0.7268,0.0595
0.037276,0.000298,3,0,0.7288,0.0226,0.6684,0.0421,0.728,0.0601
0.037276,0.000336,3,0,0.7254,0.025,0.6659,0.0432,0.7293,0.0603
0.037276,0.000379,3,0,0.7254,0.025,0.6659,0.0432,0.7298,0.0599
0.037276,0.000428,3,0,0.7254,0.025,0.6659,0.0432,0.7318,0.0586
0.037276,0.000483,3,0,0.7254,0.025,0.6659,0.0432,0.7315,0.0602
0.037276,0.000546,3,0,0.7254,0.025,0.6659,0.0432,0.7322,0.0615
0.037276,0.000616,3,0,0.7254,0.025,0.6659,0.0432,0.7338,0.0624
0.037276,0.000695,3,0,0.7271,0.0232,0.669,0.0397,0.7341,0.0623
0.037276,0.000785,3,0,0.7271,0.0232,0.669,0.0397,0.7355,0.0618
0.037276,0.000886,3,0,0.7271,0.0232,0.669,0.0397,0.7354,0.0612
0.037276,0.001,3,0,0.7271,0.0232,0.669,0.0397,0.7354,0.0615
0.071969,0.0001,3,0,0.7271,0.0203,0.6636,0.0422,0.7253,0.0603
0.071969,0.000113,3,0,0.7305,0.0218,0.6696,0.0419,0.726,0.0608
0.071969,0.000127,3,0,0.7288,0.0226,0.6684,0.0421,0.7265,0.0607
0.071969,0.000144,3,0,0.7288,0.0226,0.6684,0.0421,0.7263,0.0592
0.071969,0.000162,3,0,0.7271,0.0232,0.667,0.0418,0.7276,0.0605
0.071969,0.000183,3,0,0.7271,0.0232,0.667,0.0418,0.7291,0.0606
0.071969,0.000207,3,0,0.7254,0.025,0.6659,0.0432,0.73,0.0594
0.071969,0.000234,3,0,0.7254,0.025,0.6659,0.0432,0.7317,0.059
0.071969,0.000264,3,0,0.7254,0.025,0.6659,0.0432,0.7315,0.062
0.071969,0.000298,3,0,0.7254,0.025,0.6659,0.0432,0.7329,0.0618
0.071969,0.000336,3,0,0.7254,0.0208,0.6677,0.0383,0.7345,0.0621
0.071969,0.000379,3,0,0.7254,0.0208,0.6677,0.0383,0.7353,0.06
0.071969,0.000428,3,0,0.7254,0.0208,0.6677,0.0383,0.7361,0.0608
0.071969,0.000483,3,0,0.7254,0.0208,0.6677,0.0383,0.7365,0.0605
0.071969,0.000546,3,0,0.7254,0.0208,0.6677,0.0383,0.738,0.0592
0.071969,0.000616,3,0,0.7254,0.0208,0.6677,0.0383,0.739,0.0585
0.071969,0.000695,3,0,0.7254,0.0208,0.6677,0.0383,0.7393,0.0576
0.071969,0.000785,3,0,0.7238,0.0212,0.6663,0.0374,0.7401,0.0579
0.071969,0.000886,3,0,0.7238,0.0212,0.6663,0.0374,0.7397,0.0579
0.071969,0.001,3,0,0.7238,0.0212,0.6663,0.0374,0.7403,0.0574
